IFIL - Carteira do Dia 22/09/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Fundos;ALZR11;FII ALIANZA;CI  ER;9.860.406;1,064;100,000;
Financ e Outros / Fundos;RZAT11;FII ARCTIUM;CI  ER;3.708.168;0,312;100,000;
Financ e Outros / Fundos;BBPO11;FII BB PRGII;CI;15.919.690;1,436;100,000;
Financ e Outros / Fundos;BCFF11;FII BC FFII;CI;25.186.378;1,752;100,000;
Financ e Outros / Fundos;BRCR11;FII BC FUND;CI;26.638.202;1,560;100,000;
Financ e Outros / Fundos;BRCO11;FII BRESCO;CI;14.778.781;1,718;100,000;
Financ e Outros / Fundos;BTAL11;FII BTG AGRO;CI  ER;5.982.736;0,488;100,000;
Financ e Outros / Fundos;BTCI11;FII BTG CRI;CI;99.521.172;0,904;100,000;
Financ e Outros / Fundos;BTLG11;FII BTLG;CI  ER;27.007.486;2,562;100,000;
Financ e Outros / Fundos;CPTS11;FII CAPI SEC;CI  ER;31.782.814;2,608;100,000;
Financ e Outros / Fundos;HGCR11;FII CSHG CRI;CI;15.418.106;1,545;100,000;
Financ e Outros / Fundos;HGFF11;FII CSHG FOF;CI;2.863.597;0,238;100,000;
Financ e Outros / Fundos;HGLG11;FII CSHG LOG;CI;33.787.575;5,088;100,000;
Financ e Outros / Fundos;HGRU11;FII CSHG URB;CI;18.406.458;2,382;100,000;
Financ e Outros / Fundos;DEVA11;FII DEVANT;CI;14.044.908;0,544;100,000;
Financ e Outros / Fundos;VRTA11;FII FATOR VE;CI;15.592.424;1,299;100,000;
Financ e Outros / Fundos;GTWR11;FII G TOWERS;CI;12.000.000;0,937;100,000;
Financ e Outros / Fundos;GGRC11;FII GGRCOVEP;CI;9.866.575;1,075;100,000;
Financ e Outros / Fundos;GALG11;FII GUARDIAN;CI;57.485.300;0,489;100,000;
Financ e Outros / Fundos;HABT11;FII HABIT II;CI;8.126.783;0,706;100,000;
Financ e Outros / Fundos;HCTR11;FII HECTARE;CI;22.084.202;0,656;100,000;
